titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
No Doubt,English,English,2019,71 min,"Comedy, Romance",Two millennials connect on an online dating site and decide to spend an evening together.,Pelicula,https://filmzie.com/content/no-doubt-2019
For Izzy,English,English,2018,84 min,Drama,The lives of a recovering queer addict and her single mother change forever when they move in next door to a widowed father and his adult daughter with autism.,Pelicula,https://filmzie.com/content/for-izzy-2018
The Sand Castle,English,None,1977,13 min,"Animation, Comedy, Fantasy, Family, Short","On a sandy desert, a sand man creates fellow sand creatures to build a breathtaking sand castle together.",Pelicula,https://filmzie.com/content/the-sand-castle
The Investors,English,"English, Russian, Swedish",2018,17 min,"Short, Comedy, Thriller",The morality shakedown continues in Hollywood as new-age producers challenge aspiring artists to ignore abhorrent behavior in exchange for a career bump.,Pelicula,https://filmzie.com/content/the-investors-2018
Soraya Luna,German,English (embedded),2021,24 min,"Short, Drama","In a haunting exploration of repressed memories, director Elisa Gómez Álvarez delves into a chilling story of three sisters consumed by adult desires. Unveiled through VHS archives, this tragic tale captivates.",Pelicula,https://filmzie.com/content/soraya-luna-2021
State of Play,Korean,"German, English, Spanish, Russian, Chinese",2013,85 min,"Documentary, Drama, Sport","We don't really play for fun. Mostly, we play for work. It's the same for other jobs where you have to survive in competition. This work just happens to be a game.",Pelicula,https://filmzie.com/content/state-of-play-2013
Malfunkshun: The Andrew Wood Story,English,"English, Spanish",2005,99 min,"Documentary, Music","4K Remaster of original documentary film based on the life of Andrew Wood, singer/songwriter/frontman for Seattle's seminal pre-grunge bands Malfunkshun and Mother Love Bone. Featuring members of Mother Love Bone, Malfunkshun, Pearl Jam & Soundgarden.",Pelicula,https://filmzie.com/content/malfunkshun-the-andrew-wood-story-2005
The Script of Life,English,English,2019,84 min,"Comedy, Drama, Romance","Sam Davies has always wanted to be an actor. Lana Ong has always wanted to be recognized at work. Both have a history of meeting the wrong people. As their professional and personal worlds collide, trouble and misunderstandings ensue. Can their friends and family convince them to give love another shot? Sometimes, life doesn't go according to script.",Pelicula,https://filmzie.com/content/the-script-of-life-2019
Oxy-Morons,English,English,2010,110 min,"Action, Thriller","Experience the gripping true-life tale of a Boston criminal and his gang, entangled in addiction and greed, as they embark on dangerous robberies amidst the OxyContin drug trade.",Pelicula,https://filmzie.com/content/oxy-morons-2010
The Knight in the Tiger's Skin,English,English,2022,111 min,"Drama, Fantasy","Prince Tariel is in the quest for his captured love, Nestan, but he fails. All attempts are in vain. He retires to a cave to live in the wilderness. Since then, he dresses in tiger skin, a reminder of his love. Help comes unexpectedly.",Pelicula,https://filmzie.com/content/the-knight-in-the-tigers-skin-2022
Roaming,English,English,2013,78 min,"Drama, Romance","William Borchert, a socially introverted game designer, reunites with his high school love, Olivia. Battling undiagnosed Autism, he strives for a hopeful future.",Pelicula,https://filmzie.com/content/roaming-2013
The Issue with Elvis,English,None,2022,88 min,Drama,First feature film by Charlotte Wincott about a botanist who meets a runaway boy in the mountains of West Virginia.,Pelicula,https://filmzie.com/content/the-issue-with-elvis-2022
Sad Vacation: The Last Days Of Sid And Nancy,English,Spanish,2016,95 min,"Documentary, Music","Sad Vacation is an up close and personal account of the tumultuous and stormy relationship between Sid Vicious and Nancy Spungen and how it ended in Room 100 of the Chelsea Hotel. This films pulls no punches and reveals the facts through personal friends, insiders and witnesses. Includes interviews with Sylvain Sylvain (New York Dolls), Bob Gruen, Walter Lure and many more.",Pelicula,https://filmzie.com/content/sad-vacation-the-last-days-of-sid-and-nancy-2016
The Smoking Gun,English,None,2021,0 min,Short,"As a detective surveys the murder scene, an unsettling feeling creeps in—something isn't quite right about this case. Driven by curiosity, they embark on a quest to unravel the hidden truth.",Pelicula,https://filmzie.com/content/the-smoking-gun-2021
Turnabout,English,English,2016,81 min,"Drama, Mystery, Thriller","After surviving a suicide attempt, a troubled man seeks rescue from an old friend. As their journey unfolds, a tragic revelation emerges at daybreak.",Pelicula,https://filmzie.com/content/turnabout
A Meowy Christmas Vacation,English,English,2020,68 min,Family,"Transported to the year 2050, Wally confronts a world dominated by lizard aliens. Will he find a way to return home and alter history, averting the invasion?",Pelicula,https://filmzie.com/content/a-meowy-christmas-vacation-2020
Me and My Moulton,Multiple languages,None,2014,13 min,"Animation, Comedy, Short, European Production","When a girl asks for a bicycle, she receives something unexpected, revealing the contrasting worlds of children and adults. Explore the magical divide between their realities.",Pelicula,https://filmzie.com/content/me-and-my-moulton
Self-Storage,English,English,2019,69 min,"Comedy, Drama, Horror","Dumped by his girlfriend, Conrad brings her mementos to his storage unit. There, he's trapped on the top floor, playing a deadly game with a knife-wielding killer. Twisted cat-and-mouse ensues.",Pelicula,https://filmzie.com/content/self-storage
Juggernaut,English,None,2017,114 min,"Crime, Drama, Family","After a lengthy absence, a small town outlaw returns to his hometown, violently obsessed with the notion that his Mother's death was not a suicide.",Pelicula,https://filmzie.com/content/juggernaut-2017
They're Watching,English,English,2016,94 min,"Comedy, Horror, Thriller","The renovation of an old house in a village somewhere in Eastern Europe will bring the crew of an American home improvement TV show up against superstitions, misunderstandings and bloody violence.",Pelicula,https://filmzie.com/content/theyre-watching-2016
Anonymous 616,English,English,2018,80 min,"Horror, Mystery, Thriller",A couples' reunion turns into a horrifying massacre when an anonymous online encounter leads to a deadly quest for godlike power. Brace yourself for the chilling descent into darkness.,Pelicula,https://filmzie.com/content/anonymous-616-2018
"Waterfall 1: No Words, No Sex, Just Relax",English,English,2014,60 min,Documentary,"A film like you've never experienced before. See and listen now to the relaxing effect of fascinating waterfalls, while you let your mind wander. Turn your TV into a window of nature.",Pelicula,https://filmzie.com/content/waterfall-1-no-words-no-sex-just-relax-2014
The Enemy Within,Modern Greek (1453-),English,2013,107 min,"Crime, Drama","In a harrowing home invasion, a battle-hardened father faces a destructive dilemma. When guns speak, everyone becomes the enemy in this gripping thriller.",Pelicula,https://filmzie.com/content/the-enemy-within-2013
Warrioress,English,English,2013,92 min,"Action, Adventure, Fantasy","In a post-apocalyptic world, two fierce female warriors embark on a quest to battle in a ritual duel and fulfill an ancient prophecy. Journey with them!",Pelicula,https://filmzie.com/content/warrioress-2013
The Howling,English,English,2017,83 min,Horror,A group of teens on a remote farmland uncover a chilling truth about a local myth. Is a bloodthirsty creature truly lurking in the land? Mystery awaits their night out.,Pelicula,https://filmzie.com/content/the-howling-2017
F***ing Actors,Spanish,English,2015,100 min,Drama,"Through Mad, a charismatic, atypical and inventive character, the life, hopes, failures and achievements of a group of actors from Mexico are narrated. Funny, touching, seductive, self-centered, tender, or opportunistic.",Pelicula,https://filmzie.com/content/fing-actors-2015
Mulva 2: Kill Teen Ape!,English,English,2004,61 min,"Action, Comedy","After a five-year coma, Mulva seeks revenge on Teenape and his gang for stealing her Halloween candy in this revenge-driven comedy.",Pelicula,https://filmzie.com/content/mulva-2-kill-teen-ape-2004-0
Delusion Is Redemption to Those in Distress,Portuguese,English (embedded),2016,21 min,"Drama, Family, History, Short","Due to an imminent building collapse, she must urgently relocate.",Pelicula,https://filmzie.com/content/delusion-is-redemption-to-those-in-distress0
Severe Clear,English,English,2009,93 min,Documentary,"As part of the first wave in the War on Terror, First Lieutenant Mike Scotti (awarded the Navy and Marine Corps Achievement Medal with Combat ""V"") served on the front lines during the 21 day advance to Baghdad. His experiences in Afghanistan as well as Iraq put him face to face with the sobering realities of war on a daily basis.",Pelicula,https://filmzie.com/content/severe-clear-2009
24 Little Hours,English,English,2020,83 min,"Action, Crime, Drama","A vengeful ex-con goes on a 24 hour killing spree, never saying a word. The discredited detective investigating the case is convinced there is more to it than the evidence suggests.",Pelicula,https://filmzie.com/content/24-little-hours-2020
