titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Ubaal,Hindi,"English, Spanish, French, Hindi, Italian, Kannada, Tamil, Telugu, Unknown, Chinese",2021,16,Short,"""Ubaal"" short film is also about a boy who is struggling with loneliness in his life and he is waiting for someone who can remove the emptiness of his life.",Pelicula,https://filmzie.com/content/ubaal-2021
Shark Exorcist,English,No contiene subtitulos,2015,70,"Action, Comedy, Fantasy","When a demonic nun conjures the devil to possess a fearsome great white shark, all hell breaks loose in a terrifying encounter.",Pelicula,https://filmzie.com/content/shark-exorcist-2015
On the Rooftop,Spanish,No contiene subtitulos,2015,11,"Drama, Short, European Production","During summer, Adrián and friends spy on a sunbathing girl from a rooftop. But today, their perspective shifts as one discovers attraction towards a guy showering nearby.",Pelicula,https://filmzie.com/content/on-the-rooftop
Death Row,English,English,2007,85,"Horror, Thriller","Eight convicts on work-release face a sinister presence in an abandoned prison. With each brutal death, fear grows as the unknown killer lurks in the darkness.",Pelicula,https://filmzie.com/content/death-row-2007
Mila,Croatian,English,2021,30,"Animation, Short, Drama","Amidst Italy's Trento bombing of 1943, the CG animated short film portrays Mila, a little girl affected by the collateral damage and highlights the plight of civilian populations, especially children.",Pelicula,https://filmzie.com/content/mila-2021
Titanic,German,"English, Spanish",1943,88,"Action, Drama, History","Nazi propaganda epic: German officer aboard RMS Titanic, heroically facing the unsinkable ship's tragic collision with an iceberg during its April 1912 maiden voyage, battling the Atlantic's relentless descent.",Pelicula,https://filmzie.com/content/titanic-1943
The Morning After,English,English,2015,77,"Comedy, Drama","""The Morning After"" is a film with 8 inter-cut vignettes exploring the complexities of waking up next to someone the next morning.",Pelicula,https://filmzie.com/content/the-morning-after-2015
My Very Ghanaian Wedding,English,English,2017,128,Comedy,"Two strangers, from different cultures and different views, meet by chance again, and a beautiful, meaningful relationship begins. An unplanned pregnancy and a mother insistent on tradition. Can their love overcome these obstacles?",Pelicula,https://filmzie.com/content/my-very-ghanaian-wedding-2017
Princes of the Yen,English,English,2014,92,"Documentary, Crime","Explore 20th Century Japan's Central Banks' role in shaping economies, politics, and society. Documentary based on Professor Richard Werner's book.",Pelicula,https://filmzie.com/content/princes-of-the-yen-2014
The Breakout: A Rock Opera,English,English,2016,41,"Short, Drama, Music","Albert, a loner, and his rebellious peers unite to rescue tormented Cara from the adult world's grasp. Will they succeed?",Pelicula,https://filmzie.com/content/the-breakout-a-rock-opera-2016
Collage,Persian,English (embedded),2019,14,"Drama, Short","Sarah, a teenage school girl, faces few challenges with her sexual identity. She cannot express her feelings to her mother. She decided to leave home with her partner, Franak, with no coming back.",Pelicula,https://filmzie.com/content/collage-2019
Acrylic,English,English,2020,78,Comedy,A lively salon faces rivalry and a magazine competition. Who will win the grand prize? Watch the colorful battle unfold. Free streaming available.,Pelicula,https://filmzie.com/content/acrylic-2020
A Parenthesis,French,English (embedded),2020,19,"Fantasy, Short, European Production","A young man frustrated by his bachelorhood spends another day alone at home. The day after a strange party, a scratch of unknown origin adorns his arm. The scratch causes unexpected physical and subconscious side effects, unleashing the true 'wolf' that lies dormant in his dreams. This wolf we are talking about is his untamable imagination.",Pelicula,https://filmzie.com/content/a-parenthesis-2020
Seven Devils,English,English,2015,96,"Drama, Mystery, Thriller",A genre-bending anthology film set around the seven deadly sins.,Pelicula,https://filmzie.com/content/seven-devils-2015
Madame Tutli-Putli,No contiene idioma,No contiene subtitulos,2007,17,"Animation, Short, Thriller","Embark on a mesmerizing, existential journey as Madame Tutli-Putli confronts her demons on the Night Train. A visually stunning animated film of mystery and suspense.",Pelicula,https://filmzie.com/content/madame-tutli-putli
Blood of the Tribades,English,English,2016,78,"Fantasy, Horror","A village divided by gender conflict and vampire superstition. Men fall ill, blaming vampire women. Forgotten lovers uncover the truth before Bathor's return.",Pelicula,https://filmzie.com/content/blood-of-the-tribades
A Billion Lives,English,English,2016,94,"Documentary, History, News","Witness the vaping revolution turned tragic as corruption unfolds, leading to a global death toll of billions. Based on a true story.",Pelicula,https://filmzie.com/content/a-billion-lives
Begone Dull Care,No contiene idioma,No contiene subtitulos,1949,7,"Animation, Short, Music","Experience an experimental masterpiece of shifting abstract shapes and colors, synchronized to mesmerizing music. Watch as the film strip becomes a canvas in this captivating short.",Pelicula,https://filmzie.com/content/begone-dull-care
Danao's Daughters,Spanish,English,2023,108,"Crime, Thriller","During rehearsals for the opera ""Les Danaïdes"", a soprano receives an anonymous threat. Coinciding with major riots in the streets of Paris, a retired gendarme and a troubled young man will delve into the mystery.",Pelicula,https://filmzie.com/content/danaos-daughters-2023
Down River,Spanish,"English, Portuguese",2022,29,"Documentary, Short","Embark on a captivating journey with a Peruvian Amazon fishing crew, witnessing a deeply moving human drama unfold. Richly textured and emotional.",Pelicula,https://filmzie.com/content/down-river-2022
1985: Heroes Among Ruins,Spanish,English,2022,86,Documentary,"Amidst the rubble of destruction, a powerful story of resilience unfolds. ""1985: Heroes among Ruins"" is a strong documentary that captures the spirit of resilience and unity in the face of devastation.",Pelicula,https://filmzie.com/content/1985-heroes-among-ruins-2022
José,Spanish,English,2018,85,Drama,"José lives with his mother in Guatemala. It's a tough life in one of the most violent and religious countries. When he meets Luis, he's thrust into new-found passion and pain.",Pelicula,https://filmzie.com/content/jose-2018
A Child's Voice,English,English,2018,79,"Drama, Horror, Mystery, Thriller",A homeless teenager responds to a child's cry for help and embarks on a quest to expose a human trafficking ring led by the child's murderer.,Pelicula,https://filmzie.com/content/a-childs-voice-2018
A Grim Becoming,English,English,2014,84,"Action, Comedy, Horror","Young executive Raphael faces family tragedy, witnesses Grim Reaper, and embarks on soul-searching journey. Will he regain his life? Death has other plans.",Pelicula,https://filmzie.com/content/a-grim-becoming
The Corrupted,English,English,2010,75,"Horror, Sci-Fi, Thriller",A lakeside cabin retreat turns chilling for twenty-somethings as bizarre events derail their weekend. Prepare for a suspenseful ride.,Pelicula,https://filmzie.com/content/the-corrupted-2010
Shotgun,English,English,1955,80,Western,When vengeful Ben Thompson ambushes and kills Marshal Mark Fletcher with a shotgun Deputy Marshal Clay Hardin pursues the Thompson gang.,Pelicula,https://filmzie.com/content/shotgun-1955
The Christmas Crumb,English,English,2021,8,Animation,"Discover the magical tale of Pip, who finds unexpected joy when a family of giants drops a yule log crumb. Witness how little things can have a big impact in this heartwarming holiday adventure!",Pelicula,https://filmzie.com/content/the-christmas-crumb-2021
Baa Baa Black Sheep,English,English,2019,1,"Animation, Family",The traditional nursery rhyme Baa Baa Black Sheep performed by Freo Busker.,Pelicula,https://filmzie.com/content/baa-baa-black-sheep-2019
The Big Snit,English,No contiene subtitulos,1985,9,"Animation, Short, Comedy","Amidst impending nuclear devastation, a dramatic game of Scrabble ignites domestic conflict and nostalgia. Can a handsaw and high scores salvage anything?",Pelicula,https://filmzie.com/content/the-big-snit
Neverlanding - A Bad Thriller,English,English,2016,14,"Short, Comedy, Fantasy, European Production","A dedicated recluse masters the art of impersonating Michael Jackson, devoting his life to perfecting his act.",Pelicula,https://filmzie.com/content/neverlanding---a-bad-thriller
A Proper Man,French,English (embedded),2020,21,"Comedy, Drama, Short, European Production","Freshly dumped, Étienne revisits his relationships with ex-partners and his family. He’s confronted with the image of virility that everyone’s projecting on him.",Pelicula,https://filmzie.com/content/a-proper-man-2020
Rockers,English,English,1978,99,"Comedy, Drama, Musical","Horsemouth enters the record business, but trouble brews when gangsters steal his bike. As tensions rise, Horsemouth and friends unite to defeat the gangsters and bring justice back to Kingston.",Pelicula,https://filmzie.com/content/rockers
"Sex, Drugs & Bicycles",English,English,2020,85,Documentary,"The documentary that answers the question: is having month-long double paid vacations, no fear of homelessness, and universal health care the nightmare we've been warned about? The answer may surprise you.",Pelicula,https://filmzie.com/content/sex-drugs--bicycles-2020
